"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"31006 PIRAPORA";158783;159974;161059;162072;163034;163951;164821;165618;166407;167187;167934;168725;169516;170292;171076;171875;172624;173354;174106;174836;175543;176222
"31007 MONTES CLAROS";552517;560341;567460;574116;580425;586452;592158;597403;602575;607690;612594;617784;622987;628077;633214;638466;643376;648176;653115;657908;662545;667004
"31008 GRAO MOGOL";41725;41951;42156;42347;42528;42702;42865;43016;43165;43312;43453;43602;43752;43897;44047;44197;44339;44478;44618;44756;44889;45018
"31009 BOCAIUVA";64536;65200;65807;66373;66910;67424;67909;68356;68795;69231;69648;70089;70532;70965;71403;71849;72267;72677;73096;73504;73899;74277
"31010 DIAMANTINA";83932;83971;84007;84037;84068;84097;84126;84153;84177;84202;84226;84253;84278;84302;84327;84353;84376;84399;84423;84446;84470;84492
"31011 CAPELINHA";191833;193000;194064;195056;196001;196899;197751;198534;199308;200073;200805;201579;202356;203117;203886;204669;205402;206119;206858;207574;208265;208931
"31012 ARACUAI";155755;156217;156634;157027;157398;157754;158091;158399;158703;159005;159293;159600;159904;160205;160507;160815;161107;161388;161678;161963;162235;162498
"31013 PEDRA AZUL";87438;87075;86745;86435;86142;85864;85599;85355;85115;84878;84650;84409;84167;83931;83693;83449;83222;82999;82769;82547;82333;82125
"31014 ALMENARA";177071;177836;178534;179187;179806;180399;180956;181472;181979;182481;182960;183469;183979;184476;184982;185496;185976;186447;186931;187399;187856;188293
"31015 TEOFILO OTONI";267626;268140;268602;269038;269449;269843;270217;270559;270898;271232;271552;271891;272233;272564;272900;273241;273563;273877;274200;274515;274815;275107
"31016 NANUQUE";122899;122645;122413;122195;121990;121796;121610;121439;121271;121104;120945;120778;120607;120441;120274;120103;119945;119788;119627;119470;119320;119174
"31017 ITUIUTABA";136495;137730;138855;139906;140903;141854;142755;143583;144400;145208;145982;146801;147622;148426;149238;150068;150843;151602;152382;153138;153869;154574
"31018 UBERLANDIA";720125;735130;748773;761540;773641;785191;796134;806187;816104;825917;835318;845269;855241;865007;874855;884923;894340;903547;913018;922210;931094;939649
"31019 PATROCINIO";187964;189639;191162;192588;193940;195228;196451;197575;198683;199776;200827;201938;203051;204142;205243;206367;207417;208448;209504;210531;211523;212478
"31020 PATOS DE MINAS";238901;241441;243749;245912;247959;249915;251765;253467;255145;256808;258398;260083;261769;263422;265089;266794;268388;269948;271549;273103;274609;276058
"31021 FRUTAL";158172;161382;164299;167031;169619;172091;174432;176583;178703;180799;182812;184942;187073;189163;191268;193423;195436;197407;199432;201398;203298;205126
"31022 UBERABA";298141;305205;311631;317641;323340;328780;333932;338666;343335;347955;352382;357068;361763;366361;370997;375738;380173;384509;388970;393297;397481;401509
"31023 ARAXA";178166;182074;185628;188953;192104;195112;197963;200582;203164;205720;208168;210761;213359;215901;218465;221088;223539;225937;228405;230801;233114;235342
"31024 TRES MARIAS";90908;91912;92825;93680;94490;95263;95995;96670;97332;97989;98618;99284;99952;100604;101264;101938;102569;103185;103818;104433;105028;105600
"31025 CURVELO";147399;148190;148908;149582;150219;150829;151403;151936;152457;152976;153470;153995;154518;155036;155553;156084;156581;157065;157564;158050;158518;158970
"31026 BOM DESPACHO";152483;154529;156396;158137;159788;161365;162858;164228;165585;166923;168207;169565;170929;172259;173605;174977;176264;177521;178814;180069;181282;182448
"31027 SETE LAGOAS";355444;361403;366822;371893;376692;381283;385625;389620;393556;397452;401186;405136;409098;412976;416887;420884;424624;428280;432039;435690;439218;442614
"31028 CONCEICAO DO MATO DENTRO";90597;90019;89494;89002;88536;88089;87667;87282;86901;86522;86160;85776;85393;85016;84637;84250;83887;83533;83165;82814;82469;82142
"31029 PARA DE MINAS";109912;111965;113833;115581;117237;118818;120315;121691;123050;124392;125679;127040;128405;129742;131090;132467;133756;135018;136313;137571;138787;139957
"31030 BELO HORIZONTE";4369239;4433182;4491325;4545730;4597298;4646532;4693159;4736005;4778269;4820082;4860146;4902548;4945054;4986667;5028637;5071534;5111675;5150909;5191276;5230438;5268308;5304762
"31031 ITABIRA";361941;365102;367976;370666;373214;375648;377951;380069;382161;384228;386207;388304;390404;392463;394535;396655;398640;400580;402575;404510;406384;408186
"31032 ITAGUARA";59583;59967;60318;60646;60954;61252;61533;61790;62045;62295;62537;62792;63048;63298;63552;63810;64051;64287;64530;64766;64994;65212
"31033 OURO PRETO";158845;161209;163357;165369;167276;169095;170819;172404;173966;175512;176993;178561;180131;181669;183222;184807;186292;187742;189234;190682;192082;193429
"31034 CONSELHEIRO LAFAIETE";225920;229291;232355;235223;237942;240536;242995;245251;247480;249684;251796;254031;256272;258465;260676;262937;265055;267122;269250;271313;273311;275233
"31035 GUANHAES";131474;131720;131947;132153;132355;132546;132723;132892;133054;133215;133369;133534;133694;133858;134019;134184;134338;134490;134648;134798;134944;135087
"31036 PECANHA";86949;86480;86054;85655;85278;84916;84573;84260;83950;83643;83349;83039;82727;82421;82113;81798;81504;81216;80922;80632;80355;80088
"31037 GOVERNADOR VALADARES";407270;409364;411265;413047;414734;416344;417872;419272;420659;422026;423337;424724;426117;427476;428855;430256;431570;432854;434173;435461;436696;437891
"31038 MANTENA";63461;63579;63687;63788;63883;63973;64060;64138;64217;64294;64368;64446;64525;64601;64680;64759;64832;64905;64979;65052;65123;65189
"31039 IPATINGA";486148;492702;498660;504236;509521;514568;519347;523739;528070;532356;536462;540809;545165;549430;553729;558125;562243;566263;570401;574414;578295;582032
"31040 CARATINGA";246661;248148;249498;250766;251965;253108;254192;255188;256172;257144;258076;259060;260048;261017;261993;262991;263924;264837;265774;266686;267565;268414
"31041 AIMORES";152054;152066;152078;152087;152098;152108;152118;152126;152135;152145;152151;152158;152167;152176;152185;152195;152200;152208;152216;152223;152232;152238
"31042 PIUI";79235;79745;80208;80639;81051;81443;81813;82156;82491;82824;83143;83480;83821;84150;84484;84826;85145;85457;85780;86090;86391;86682
"31043 DIVINOPOLIS";401972;413745;424452;434466;443962;453027;461613;469500;477282;484979;492357;500164;507990;515651;523381;531279;538667;545892;553325;560534;567507;574219
"31044 FORMIGA";148704;149519;150261;150955;151613;152241;152835;153382;153923;154455;154966;155506;156050;156580;157115;157663;158173;158674;159190;159690;160172;160638
"31045 CAMPO BELO";108251;108976;109635;110251;110835;111394;111923;112408;112887;113362;113815;114296;114778;115250;115726;116211;116666;117111;117567;118013;118440;118854
"31046 OLIVEIRA";122519;123270;123956;124595;125201;125782;126332;126835;127332;127824;128297;128796;129296;129786;130281;130786;131258;131720;132194;132655;133101;133530
"31047 PASSOS";215650;217593;219363;221018;222582;224080;225499;226799;228084;229356;230573;231862;233155;234420;235694;236999;238219;239412;240641;241828;242982;244089
"31048 SAO SEBASTIAO DO PARAISO";259816;261230;262513;263714;264853;265942;266970;267919;268853;269777;270661;271600;272536;273456;274383;275331;276217;277085;277977;278844;279679;280484
"31049 ALFENAS";214083;216089;217916;219623;221243;222789;224253;225598;226926;228237;229496;230827;232161;233468;234787;236135;237392;238627;239892;241122;242312;243457
"31050 VARGINHA";417310;421458;425234;428763;432109;435304;438330;441109;443852;446565;449165;451917;454674;457374;460099;462882;465486;468035;470653;473195;475649;478016
"31051 POCOS DE CALDAS";318410;322311;325851;329171;332315;335317;338158;340772;343347;345897;348341;350929;353517;356055;358615;361230;363676;366067;368530;370919;373228;375451
"31052 POUSO ALEGRE";288799;294482;299648;304485;309066;313442;317583;321394;325147;328862;332424;336194;339972;343668;347397;351211;354774;358264;361850;365331;368694;371934
"31053 SANTA RITA DO SAPUCAI";131499;132964;134293;135541;136720;137844;138913;139896;140861;141819;142736;143706;144681;145631;146591;147575;148494;149390;150315;151211;152079;152911
"31054 SAO LOURENCO";200857;202325;203656;204907;206092;207218;208289;209273;210242;211199;212120;213096;214067;215024;215986;216972;217891;218791;219716;220614;221484;222320
"31055 ANDRELANDIA";75464;75432;75406;75379;75354;75331;75306;75288;75267;75249;75228;75206;75187;75167;75145;75126;75108;75089;75069;75050;75032;75014
"31056 ITAJUBA";186148;187000;187773;188495;189182;189836;190457;191029;191591;192147;192680;193244;193808;194366;194919;195493;196028;196549;197087;197606;198111;198597
"31057 LAVRAS";138134;139996;141687;143270;144771;146204;147560;148808;150039;151253;152420;153653;154892;156102;157322;158573;159739;160881;162056;163196;164297;165361
"31058 SAO JOAO DEL REI";175584;176948;178187;179350;180448;181501;182495;183408;184310;185201;186055;186959;187866;188755;189650;190561;191421;192257;193118;193954;194759;195538
"31059 BARBACENA";211002;212963;214749;216419;218002;219510;220943;222256;223556;224838;226068;227369;228673;229951;231239;232554;233788;234990;236230;237431;238595;239713
"31060 PONTE NOVA";195141;194550;194009;193503;193025;192570;192137;191738;191344;190958;190587;190192;189800;189413;189025;188627;188256;187889;187515;187151;186800;186464
"31061 MANHUACU";256817;259686;262297;264735;267053;269260;271354;273273;275172;277049;278847;280747;282658;284525;286407;288336;290134;291894;293707;295465;297164;298799
"31062 VICOSA";220869;221493;222061;222589;223094;223573;224027;224444;224858;225266;225656;226071;226484;226890;227298;227716;228107;228490;228886;229266;229637;229993
"31063 MURIAE";268262;269928;271444;272861;274206;275492;276707;277821;278923;280012;281057;282162;283270;284355;285448;286567;287610;288635;289688;290707;291697;292645
"31064 UBA";247903;251383;254542;257502;260307;262984;265524;267854;270151;272424;274605;276910;279223;281487;283770;286101;288284;290421;292614;294745;296805;298789
"31065 JUIZ DE FORA";681364;689262;696440;703162;709528;715611;721368;726660;731877;737042;741991;747229;752478;757616;762799;768102;773055;777899;782883;787723;792397;796900
"31066 CATAGUASES";212721;213744;214671;215543;216368;217152;217899;218584;219260;219929;220569;221247;221927;222591;223263;223949;224589;225220;225862;226490;227094;227674
"50001 BAIXO PANTANAL";127496;128921;130293;131677;133077;134474;135838;137126;138450;139821;141167;142338;143533;144728;145941;147176;148366;149540;150728;151897;153045;154169
"50002 AQUIDAUANA";100748;101429;102085;102746;103414;104082;104733;105349;105980;106636;107278;107838;108408;108979;109558;110149;110716;111277;111845;112404;112953;113490
"50003 ALTO TAQUARI";106848;108147;109398;110664;111940;113215;114460;115634;116843;118094;119323;120391;121483;122575;123679;124807;125892;126964;128048;129113;130164;131188
"50004 CAMPO GRANDE";743000;758335;773105;788014;803087;818129;832804;846683;860927;875697;890185;902790;915667;928519;941584;954877;967692;980324;993123;1005705;1018063;1030173
"50005 CASSILANDIA";49556;50955;52304;53664;55041;56413;57753;59019;60321;61668;62990;64141;65316;66490;67683;68896;70065;71218;72386;73535;74663;75769
"50006 PARANAIBA";72624;73173;73702;74236;74776;75314;75840;76337;76846;77376;77895;78347;78808;79267;79736;80212;80670;81122;81581;82032;82475;82908
"50007 TRES LAGOAS";127487;130626;133647;136699;139784;142862;145866;148704;151620;154643;157608;160187;162822;165453;168126;170847;173470;176054;178672;181248;183776;186255
"50008 NOVA ANDRADINA";75587;77092;78539;80002;81480;82953;84394;85754;87151;88600;90021;91257;92520;93780;95061;96366;97621;98861;100115;101350;102562;103749
"50009 BODOQUENA";103059;103496;103914;104338;104766;105193;105609;106004;106408;106829;107239;107598;107964;108329;108698;109078;109441;109800;110164;110518;110869;111215
"50010 DOURADOS";418423;428013;437250;446578;456006;465409;474593;483269;492181;501419;510480;518363;526416;534455;542629;550942;558958;566857;574862;582736;590463;598037
"50011 IGUATEMI";207768;210143;212432;214739;217073;219400;221674;223824;226029;228316;230559;232512;234505;236494;238519;240578;242563;244517;246499;248448;250361;252235
"51001 ARIPUANA";99650;103824;107905;112005;116193;120524;124810;128875;132881;136943;140899;143921;146945;150088;153429;156895;160160;163374;166695;169962;173174;176324
"51002 ALTA FLORESTA";92350;93275;94179;95090;96017;96976;97927;98827;99716;100616;101493;102164;102833;103532;104270;105039;105762;106476;107211;107937;108647;109348
"51003 COLIDER";132951;134374;135768;137167;138597;140075;141537;142924;144292;145678;147028;148060;149090;150164;151304;152486;153600;154699;155830;156946;158041;159118
"51004 PARECIS";63621;66428;69173;71934;74753;77666;80549;83283;85979;88712;91373;93408;95441;97557;99801;102136;104332;106494;108730;110926;113087;115207
"51005 ARINOS";69223;70051;70863;71677;72509;73369;74221;75028;75824;76632;77416;78017;78616;79242;79905;80594;81240;81880;82540;83188;83825;84452
"51006 ALTO TELES PIRES";104246;113475;122504;131580;140843;150418;159902;168893;177751;186737;195489;202172;208863;215814;223202;230871;238089;245201;252549;259773;266875;273852
"51007 SINOP";135572;139808;143952;148114;152367;156760;161115;165238;169303;173426;177442;180512;183581;186770;190160;193680;196992;200255;203627;206941;210202;213402
"51008 PARANATINGA";29367;29807;30237;30670;31112;31568;32022;32450;32873;33303;33718;34039;34356;34689;35041;35407;35753;36090;36444;36785;37125;37456
"51009 NORTE ARAGUAIA";89945;92466;94934;97414;99947;102564;105154;107609;110030;112488;114878;116705;118533;120433;122451;124547;126520;128465;130472;132443;134387;136291
"51010 CANARANA";81209;83287;85319;87362;89446;91603;93741;95761;97756;99780;101750;103256;104761;106326;107989;109715;111341;112941;114596;116224;117821;119393
"51011 MEDIO ARAGUAIA";62480;62916;63342;63769;64207;64659;65105;65529;65948;66372;66785;67100;67417;67745;68093;68454;68796;69130;69477;69818;70154;70482
"51012 ALTO GUAPORE";61051;61901;62734;63568;64421;65302;66176;67002;67817;68645;69452;70067;70682;71322;72002;72708;73373;74028;74703;75369;76023;76665
"51013 TANGARA DA SERRA";115503;118824;122071;125336;128667;132112;135524;138756;141945;145177;148324;150730;153136;155637;158292;161052;163648;166208;168851;171449;174002;176513
"51014 JAURU";108645;108780;108913;109046;109181;109323;109461;109592;109723;109854;109983;110080;110181;110284;110389;110502;110607;110711;110821;110927;111030;111134
"51015 ALTO PARAGUAI";33748;33725;33704;33683;33659;33636;33613;33591;33571;33549;33528;33513;33497;33480;33461;33443;33425;33407;33390;33374;33357;33340
"51016 ROSARIO OESTE";32303;32217;32134;32051;31965;31875;31786;31703;31621;31536;31455;31392;31332;31266;31198;31127;31059;30993;30926;30858;30792;30728
"51017 CUIABA";760920;772123;783082;794097;805342;816963;828485;839391;850149;861054;871676;879794;887911;896350;905316;914626;923392;932021;940943;949712;958331;966799
"51018 ALTO PANTANAL";128174;128936;129682;130429;131193;131984;132763;133505;134233;134974;135695;136247;136799;137373;137980;138613;139206;139794;140400;140997;141581;142157
"51019 PRIMAVERA DO LESTE";59107;61763;64360;66971;69638;72394;75121;77707;80255;82842;85361;87286;89210;91210;93337;95541;97618;99665;101778;103858;105901;107909
"51020 TESOURO";55859;55893;55927;55961;55997;56030;56067;56101;56134;56168;56200;56226;56249;56277;56307;56335;56360;56386;56416;56440;56467;56495
"51021 RONDONOPOLIS";229281;234584;239771;244984;250306;255808;261256;266420;271511;276673;281701;285542;289382;293378;297620;302026;306174;310261;314482;318630;322711;326719
"51022 ALTO ARAGUAIA";24873;25884;26873;27868;28882;29932;30970;31954;32925;33907;34867;35599;36333;37093;37901;38743;39532;40312;41117;41909;42687;43450
"15001 OBIDOS";155001;158558;162049;165521;168975;172382;175803;179164;182482;185707;188763;191189;193546;195833;198137;200446;202625;204766;206970;209139;211269;213367
"15002 SANTAREM";442597;448237;453776;459284;464763;470165;475591;480925;486188;491302;496149;499997;503736;507364;511019;514681;518135;521533;525029;528467;531849;535172
"15003 ALMEIRIM";59163;60220;61257;62288;63314;64326;65342;66341;67326;68285;69192;69913;70613;71293;71976;72663;73310;73946;74600;75244;75877;76500
"15004 PORTEL";98684;102300;105852;109384;112897;116361;119840;123262;126635;129916;133023;135490;137887;140214;142558;144906;147121;149300;151541;153746;155915;158046
"15005 FUROS DE BREVES";170450;174512;178500;182466;186410;190302;194209;198050;201840;205523;209012;211782;214475;217088;219719;222356;224844;227290;229807;232284;234720;237113
"15006 ARARI";121024;124777;128465;132129;135774;139372;142981;146530;150034;153437;156662;159223;161711;164126;166560;168995;171295;173554;175883;178169;180421;182631
"15007 BELEM";1912507;1942124;1971203;2000122;2028879;2057254;2085740;2113744;2141374;2168230;2193676;2213876;2233513;2252561;2271753;2290978;2309111;2326950;2345306;2363360;2381117;2398566
"15008 CASTANHAL";232809;240107;247274;254401;261488;268480;275501;282403;289211;295830;302101;307080;311917;316611;321343;326080;330549;334946;339469;343919;348294;352595
"15009 SALGADO";222009;225283;228494;231692;234866;238002;241150;244245;247295;250264;253075;255306;257477;259582;261702;263826;265830;267800;269829;271823;273785;275714
"15010 BRAGANTINA";338695;344302;349813;355288;360735;366110;371504;376811;382041;387128;391948;395775;399492;403102;406735;410376;413811;417188;420667;424088;427450;430753
"15011 CAMETA";364083;372901;381559;390169;398730;407178;415660;423998;432223;440220;447795;453810;459657;465326;471042;476764;482164;487474;492940;498315;503601;508796
"15012 TOME-ACU";217848;225925;233854;241740;249582;257318;265086;272724;280257;287579;294519;300028;305382;310577;315809;321052;325997;330861;335866;340789;345631;350389
"15013 GUAMA";371464;378839;386078;393279;400442;407503;414599;421570;428451;435136;441473;446504;451391;456134;460914;465700;470216;474655;479227;483723;488143;492488
"15014 ITAITUBA";203660;204807;205936;207056;208171;209270;210375;211460;212531;213572;214558;215340;216101;216840;217583;218330;219033;219724;220435;221135;221823;222500
"15015 ALTAMIRA";232911;237918;242836;247726;252588;257384;262201;266936;271607;276148;280451;283867;287186;290406;293652;296902;299968;302985;306088;309141;312142;315093
"15016 TUCURUI";257354;265722;273936;282106;290231;298248;306294;314206;322012;329601;336788;342494;348043;353424;358847;364276;369400;374440;379626;384726;389741;394673
"15017 PARAGOMINAS";224844;233022;241050;249035;256975;264807;272673;280404;288031;295447;302472;308048;313471;318730;324028;329336;334343;339269;344335;349321;354221;359040
"15018 SAO FELIX DO XINGU";91735;100008;108131;116210;124242;132168;140124;147948;155666;163168;170275;175918;181403;186722;192085;197455;202522;207503;212630;217674;222632;227507
"15019 PARAUAPEBAS";158108;169041;179773;190448;201063;211535;222050;232388;242587;252500;261892;269348;276597;283627;290711;297808;304500;311086;317861;324525;331080;337520
"15020 MARABA";221500;228883;236130;243337;250505;257577;264676;271657;278543;285237;291579;296615;301508;306255;311039;315830;320350;324796;329372;333871;338296;342646
"15021 REDENCAO";172038;173676;175285;176883;178473;180043;181618;183166;184694;186180;187587;188703;189790;190844;191904;192967;193971;194956;195973;196972;197953;198919
"15022 CONCEICAO DO ARAGUAIA";102728;106651;110501;114332;118139;121896;125670;129378;133037;136594;139963;142637;145238;147760;150302;152848;155251;157612;160043;162434;164785;167096
"25001 CATOLE DO ROCHA";109817;110854;111837;112758;113635;114500;115343;116116;116870;117606;118289;118805;119228;119639;120170;120781;121355;121917;122516;123105;123679;124239
"25002 CAJAZEIRAS";160938;162223;163441;164582;165667;166736;167781;168739;169670;170584;171428;172066;172590;173099;173759;174512;175225;175925;176665;177393;178104;178797
"25003 SOUSA";178231;179114;179952;180735;181480;182221;182940;183595;184242;184866;185450;185890;186251;186599;187053;187574;188064;188543;189055;189553;190043;190519
"25004 PATOS";120350;121463;122519;123506;124446;125375;126281;127108;127919;128708;129442;129996;130452;130893;131462;132117;132733;133337;133980;134611;135227;135829
"25005 PIANCO";73710;73517;73334;73163;72999;72838;72680;72539;72397;72261;72132;72036;71957;71880;71782;71669;71562;71459;71346;71237;71129;71026
"25006 ITAPORANGA";84992;85059;85121;85180;85241;85299;85355;85404;85455;85502;85548;85582;85609;85637;85669;85711;85748;85784;85824;85863;85901;85935
"25007 SERRA DO TEIXEIRA";111165;112021;112834;113597;114321;115036;115735;116372;116994;117603;118169;118596;118946;119285;119725;120228;120702;121170;121664;122149;122625;123089
"25008 SERIDO OCIDENTAL PARAIBANO";37611;37882;38140;38382;38611;38838;39057;39260;39457;39652;39830;39966;40075;40182;40322;40481;40632;40780;40937;41092;41242;41388
"25009 SERIDO ORIENTAL PARAIBANO";68623;69443;70221;70950;71643;72328;72995;73605;74203;74785;75325;75732;76070;76392;76814;77298;77751;78197;78672;79134;79590;80034
"25010 CARIRI OCIDENTAL";115986;116942;117851;118705;119513;120312;121094;121804;122502;123182;123816;124292;124683;125063;125554;126120;126650;127170;127724;128265;128799;129316
"25011 CARIRI ORIENTAL";61510;61941;62349;62729;63096;63455;63802;64125;64438;64745;65025;65239;65415;65586;65807;66061;66299;66534;66782;67027;67264;67495
"25012 CURIMATAU OCIDENTAL";111663;112966;114206;115364;116466;117556;118620;119589;120538;121465;122326;122976;123508;124024;124693;125462;126183;126893;127650;128388;129109;129814
"25013 CURIMATAU ORIENTAL";95339;95416;95490;95557;95621;95685;95749;95808;95862;95918;95968;96007;96038;96068;96107;96151;96195;96237;96281;96326;96368;96409
"25014 ESPERANCA";49099;49739;50351;50921;51465;52002;52525;53002;53470;53924;54349;54670;54934;55188;55516;55895;56250;56601;56973;57335;57692;58039
"25015 BREJO PARAIBANO";121809;121355;120923;120519;120134;119754;119385;119046;118714;118392;118093;117866;117679;117501;117266;117001;116750;116501;116237;115979;115731;115483
"25016 GUARABIRA";162424;163111;163765;164378;164963;165537;166100;166612;167115;167603;168060;168404;168685;168958;169312;169720;170100;170476;170875;171265;171646;172022
"25017 CAMPINA GRANDE";474647;479288;483693;487820;491737;495614;499390;502843;506222;509518;512581;514894;516784;518625;521004;523734;526308;528831;531511;534144;536714;539223
"25018 ITABAIANA";109360;109530;109697;109849;109993;110138;110276;110407;110531;110651;110766;110852;110923;110990;111079;111179;111275;111369;111469;111566;111661;111755
"25019 UMBUZEIRO";55864;55748;55639;55538;55440;55343;55250;55165;55080;54998;54923;54865;54817;54772;54713;54645;54583;54520;54453;54388;54322;54262
"25020 LITORAL NORTE";131680;133290;134821;136251;137613;138960;140267;141467;142640;143786;144847;145650;146305;146945;147770;148719;149611;150487;151417;152330;153223;154096
"25021 SAPE";126363;127430;128447;129397;130300;131194;132062;132859;133638;134396;135102;135633;136070;136494;137042;137673;138265;138845;139463;140071;140664;141240
"25022 JOAO PESSOA";891509;911506;930491;948273;965175;981890;998158;1013045;1027613;1041816;1055015;1064987;1073140;1081066;1091320;1103101;1114194;1125063;1136627;1147967;1159054;1169866
"25023 LITORAL SUL";76174;77169;78115;78999;79841;80672;81482;82223;82948;83655;84312;84809;85214;85608;86120;86705;87258;87798;88375;88939;89490;90029
"26001 ARARIPINA";284220;287716;290986;294167;297283;300326;303328;306194;309070;311950;314673;316788;319001;321173;323343;325593;327649;329627;331762;333854;335907;337912
"26002 SALGUEIRO";156101;157277;158378;159446;160496;161517;162528;163493;164457;165427;166344;167055;167799;168531;169258;170016;170708;171372;172090;172795;173486;174159
"26003 PAJEU";304975;306921;308739;310506;312240;313934;315603;317200;318797;320398;321913;323088;324318;325529;326736;327986;329128;330231;331416;332581;333724;334838
"26004 SERTAO DO MOXOTO";189126;192288;195241;198116;200933;203686;206397;208989;211587;214191;216652;218562;220562;222527;224487;226522;228381;230170;232097;233991;235845;237657
"26005 PETROLINA";357591;368646;378982;389042;398893;408517;418004;427070;436162;445266;453877;460562;467556;474431;481286;488402;494900;501160;507907;514528;521016;527356
"26006 ITAPARICA";119506;121554;123467;125329;127153;128934;130691;132369;134052;135738;137332;138570;139866;141137;142407;143725;144925;146086;147333;148561;149762;150937
"26007 VALE DO IPANEMA";167051;169129;171075;172966;174822;176630;178413;180121;181832;183542;185163;186421;187737;189029;190318;191657;192879;194058;195326;196573;197793;198983
"26008 VALE DO IPOJUCA";761855;774454;786234;797700;808925;819894;830708;841040;851400;861778;871590;879208;887184;895012;902830;910937;918342;925481;933167;940713;948109;955332
"26009 ALTO CAPIBARIBE";217835;224981;231665;238171;244541;250761;256895;262756;268636;274523;280090;284413;288936;293378;297812;302413;306614;310661;315022;319304;323497;327598
"26010 MEDIO CAPIBARIBE";257347;257543;257729;257906;258081;258250;258419;258582;258742;258905;259058;259176;259301;259423;259546;259672;259786;259900;260019;260135;260251;260365
"26011 GARANHUNS";423166;426507;429629;432669;435642;438549;441417;444156;446902;449654;452254;454275;456386;458463;460534;462684;464645;466537;468573;470577;472537;474450
"26012 BREJO PERNAMBUCANO";215632;216295;216917;217521;218112;218692;219263;219809;220352;220901;221418;221820;222240;222653;223064;223492;223883;224259;224665;225062;225453;225833
"26013 MATA SETENTRIONAL PERNAMBUCANA";515674;519411;522906;526308;529638;532890;536099;539161;542237;545316;548225;550486;552850;555173;557493;559898;562093;564210;566488;568728;570923;573065
"26014 VITORIA DE SANTO ANTAO";203003;205023;206909;208748;210546;212305;214039;215693;217354;219018;220590;221810;223089;224344;225597;226895;228083;229227;230459;231668;232853;234010
"26015 MATA MERIDIONAL PERNAMBUCANA";520154;526139;531737;537182;542519;547726;552861;557772;562697;567625;572287;575907;579695;583417;587128;590983;594498;597892;601542;605127;608639;612070
"26016 ITAMARACA";136713;140499;144037;147482;150856;154150;157401;160505;163617;166735;169684;171974;174369;176723;179071;181506;183730;185874;188185;190452;192675;194846
"26017 RECIFE";3062821;3094049;3123243;3151660;3179484;3206668;3233467;3259075;3284757;3310474;3334794;3353677;3373436;3392846;3412218;3432314;3450665;3468350;3487401;3506109;3524437;3542345
"26018 SUAPE";221961;227688;233042;238253;243355;248340;253254;257951;262660;267376;271836;275298;278923;282481;286034;289720;293085;296328;299821;303252;306613;309897
"26019 FERNANDO DE NORONHA";2103;2171;2234;2295;2355;2414;2472;2527;2583;2638;2691;2732;2775;2817;2858;2902;2942;2980;3021;3061;3101;3140
"22001 BAIXO PARNAIBA PIAUIENSE";311880;315413;318617;321403;324010;326629;329130;331405;333515;335429;337216;338176;339095;339846;340591;341446;342250;343036;343897;344711;345487;346220
"22002 LITORAL PIAUIENSE";281299;285508;289327;292645;295750;298875;301855;304565;307083;309364;311494;312642;313733;314631;315519;316543;317502;318441;319464;320438;321364;322237
"22003 TERESINA";903223;919971;935153;948352;960711;973138;984993;995767;1005774;1014847;1023313;1027869;1032214;1035780;1039296;1043364;1047168;1050906;1054967;1058840;1062514;1065987
"22004 CAMPO MAIOR";217119;218308;219389;220325;221203;222085;222926;223693;224404;225046;225649;225973;226280;226535;226782;227075;227343;227610;227896;228172;228434;228680
"22005 MEDIO PARNAIBA PIAUIENSE";128225;128958;129621;130199;130737;131278;131798;132269;132707;133100;133471;133671;133860;134016;134171;134346;134513;134677;134853;135025;135185;135335
"22006 VALENCA DO PIAUI";106313;106363;106409;106452;106486;106526;106561;106595;106624;106654;106679;106693;106706;106715;106730;106740;106752;106764;106776;106786;106797;106810
"22007 ALTO PARNAIBA PIAUIENSE";37566;38553;39448;40226;40955;41688;42386;43022;43611;44146;44645;44914;45169;45380;45587;45828;46051;46271;46511;46738;46956;47161
"22008 BERTOLINIA";39593;39881;40139;40368;40578;40791;40997;41180;41352;41508;41653;41732;41806;41867;41929;41997;42063;42126;42195;42261;42327;42384
"22009 FLORIANO";122634;122886;123114;123312;123499;123685;123863;124023;124174;124309;124438;124507;124571;124626;124678;124741;124796;124853;124915;124973;125026;125080
"22010 ALTO MEDIO GURGUEIA";79439;80936;82294;83472;84577;85689;86748;87711;88604;89416;90173;90581;90969;91287;91602;91965;92305;92639;93003;93348;93676;93988
"22011 SAO RAIMUNDO NONATO";124642;126551;128284;129790;131199;132617;133971;135199;136340;137374;138341;138861;139355;139762;140163;140628;141060;141490;141953;142395;142812;143209
"22012 CHAPADAS DO EXTREMO SUL PIAUIENSE";78482;79328;80096;80763;81388;82017;82614;83160;83668;84123;84552;84781;85002;85183;85360;85566;85758;85946;86152;86346;86533;86709
"22013 PICOS";190615;192539;194283;195805;197226;198652;200016;201252;202405;203447;204420;204943;205443;205855;206259;206727;207163;207592;208061;208504;208926;209325
"22014 PIO IX";54099;54825;55482;56053;56588;57125;57638;58106;58540;58932;59298;59494;59683;59838;59991;60166;60330;60493;60669;60837;60993;61144
