MicroId,latitude,longitude,AbsolutVariation,abs_change,PercentageVariation,abs_pct_change,rising
12002,-8.698295899859684,-71.12486311457835,-9.0,9.0,-81.81818181818183,81.81818181818183,False
12004,-9.982671183663566,-67.92030143613074,-19.0,19.0,-26.027397260273972,26.027397260273972,False
12001,-8.273642969402573,-72.86193801872643,0.0,0.0,0.0,0.0,False
13008,-1.5879408883769832,-59.92366734257045,-4.0,4.0,-33.33333333333333,33.33333333333333,False
13001,-0.34149369536576757,-65.13166779659818,-7.0,7.0,-53.84615384615385,53.84615384615385,False
13012,-7.14068325658395,-65.10236458861259,-1.0,1.0,-11.11111111111111,11.11111111111111,False
13010,-2.9086368256187947,-58.20007103359195,-5.0,5.0,-27.77777777777778,27.77777777777778,False
13004,-5.978263208314492,-68.71049200205148,-5.0,5.0,-62.5,62.5,False
13011,-8.10895108477007,-68.14562571948741,-6.0,6.0,-60.0,60.0,False
14004,0.31829004832788693,-60.49591292131518,-7.0,7.0,-50.0,50.0,False
15002,-1.8713965302766915,-54.65467734963983,-9.0,9.0,-8.49056603773585,8.49056603773585,False
15020,-5.6414893108947455,-49.6610990006867,-7.0,7.0,-6.666666666666667,6.666666666666667,False
16001,2.8342823142455154,-51.711368682953825,-6.0,6.0,-66.66666666666666,66.66666666666666,False
17004,-11.361762079765096,-49.858519980043546,-5.0,5.0,-10.416666666666668,10.416666666666668,False
17002,-7.343226826171418,-48.446551620248066,0.0,0.0,0.0,0.0,False
21003,-2.925364953344652,-44.00321948262799,-8.0,8.0,-25.0,25.0,False
21019,-6.939431384883032,-47.125202709541874,-8.0,8.0,-17.02127659574468,17.02127659574468,False
21010,-4.401168816169574,-44.8239780041842,0.0,0.0,0.0,0.0,False
21001,-2.144584278180634,-44.779360150146296,0.0,0.0,0.0,0.0,False
21009,-5.1316415170252725,-47.174626718262246,-18.0,18.0,-12.080536912751679,12.080536912751679,False
21020,-8.47620445334984,-46.313547590621575,-14.0,14.0,-21.21212121212121,21.21212121212121,False
21016,-4.368655125155474,-43.2682028882614,-3.0,3.0,-21.428571428571427,21.428571428571427,False
21018,-6.384748656143874,-44.13157548110463,-16.0,16.0,-24.615384615384617,24.615384615384617,False
21021,-7.131377349300203,-45.355761395178654,0.0,0.0,0.0,0.0,False
22006,-6.28890792717388,-41.666002971352206,-12.0,12.0,-38.70967741935484,38.70967741935484,False
22003,-5.067899240324854,-42.60249463905013,-36.0,36.0,-15.517241379310345,15.517241379310345,False
22011,-8.805539330310054,-42.876706784091006,-3.0,3.0,-6.521739130434782,6.521739130434782,False
22002,-3.4952448691393836,-41.62312013383024,-12.0,12.0,-14.457831325301203,14.457831325301203,False
22012,-10.213482421063857,-44.561165893664665,-4.0,4.0,-16.0,16.0,False
22008,-7.653249636809339,-43.97280261438214,0.0,0.0,0.0,0.0,False
22001,-4.036391663497613,-42.24229028431692,-2.0,2.0,-2.1505376344086025,2.1505376344086025,False
