MicroId,latitude,longitude,AbsolutVariation,abs_change,PercentageVariation,abs_pct_change,rising
17004,-11.361762079765096,-49.858519980043546,-5.0,5.0,-10.416666666666668,10.416666666666668,False
17006,-10.112037679659863,-48.146729450965346,15.0,15.0,14.563106796116504,14.563106796116504,True
17003,-9.118775659896507,-49.00260603214454,10.0,10.0,22.22222222222222,22.22222222222222,True
17007,-9.531990605076341,-47.16560677393723,17.0,17.0,80.95238095238095,80.95238095238095,True
17005,-11.9699340388814,-48.84497785161582,20.0,20.0,40.0,40.0,True
17008,-12.146322669101256,-47.34257248666866,5.0,5.0,17.857142857142858,17.857142857142858,True
17001,-6.03202063264831,-47.89956816405859,33.0,33.0,71.73913043478261,71.73913043478261,True
17002,-7.343226826171418,-48.446551620248066,0.0,0.0,0.0,0.0,False
21003,-2.925364953344652,-44.00321948262799,-8.0,8.0,-25.0,25.0,False
21012,-5.352768593405101,-44.23330279746448,17.0,17.0,40.476190476190474,40.476190476190474,True
21019,-6.939431384883032,-47.125202709541874,-8.0,8.0,-17.02127659574468,17.02127659574468,False
21008,-3.9669003291233,-45.99790785080129,12.0,12.0,9.230769230769232,9.230769230769232,True
21010,-4.401168816169574,-44.8239780041842,0.0,0.0,0.0,0.0,False
21001,-2.144584278180634,-44.779360150146296,0.0,0.0,0.0,0.0,False
21004,-2.7602007069334675,-43.03532369332378,4.0,4.0,20.0,20.0,True
21006,-3.5906623314945016,-44.12388543397302,4.0,4.0,10.526315789473683,10.526315789473683,True
21009,-5.1316415170252725,-47.174626718262246,-18.0,18.0,-12.080536912751679,12.080536912751679,False
21007,-2.3282857328006084,-46.07215671592854,10.0,10.0,38.46153846153847,38.46153846153847,True
21020,-8.47620445334984,-46.313547590621575,-14.0,14.0,-21.21212121212121,21.21212121212121,False
21016,-4.368655125155474,-43.2682028882614,-3.0,3.0,-21.428571428571427,21.428571428571427,False
21015,-4.3972322509003074,-44.01181508586946,21.0,21.0,42.857142857142854,42.857142857142854,True
21014,-3.6428643688811246,-43.251657094607836,13.0,13.0,31.70731707317073,31.70731707317073,True
21018,-6.384748656143874,-44.13157548110463,-16.0,16.0,-24.615384615384617,24.615384615384617,False
21021,-7.131377349300203,-45.355761395178654,0.0,0.0,0.0,0.0,False
21017,-5.249871081983138,-43.39726284134483,28.0,28.0,28.28282828282828,28.28282828282828,True
21013,-3.1745080143886595,-42.460318247420936,4.0,4.0,17.391304347826086,17.391304347826086,True
21005,-3.0388532577098344,-45.102414639015315,6.0,6.0,7.0588235294117645,7.0588235294117645,True
21011,-5.792485679324896,-45.66359586923003,21.0,21.0,24.418604651162788,24.418604651162788,True
21002,-2.597316907393342,-44.221392502583946,20.0,20.0,12.738853503184714,12.738853503184714,True
22006,-6.28890792717388,-41.666002971352206,-12.0,12.0,-38.70967741935484,38.70967741935484,False
22003,-5.067899240324854,-42.60249463905013,-36.0,36.0,-15.517241379310345,15.517241379310345,False
22011,-8.805539330310054,-42.876706784091006,-3.0,3.0,-6.521739130434782,6.521739130434782,False
22014,-6.899066322911983,-40.877564552072705,14.0,14.0,107.6923076923077,107.6923076923077,True
22013,-6.992532241786672,-41.882741257674105,11.0,11.0,15.714285714285714,15.714285714285714,True
22005,-6.158820461283631,-42.66434705286082,1.0,1.0,2.380952380952381,2.380952380952381,True
22002,-3.4952448691393836,-41.62312013383024,-12.0,12.0,-14.457831325301203,14.457831325301203,False
22009,-7.333388019379728,-43.09357556397778,11.0,11.0,31.428571428571427,31.428571428571427,True
22012,-10.213482421063857,-44.561165893664665,-4.0,4.0,-16.0,16.0,False
22004,-5.195919449155938,-41.59517487362874,2.0,2.0,3.225806451612903,3.225806451612903,True
22008,-7.653249636809339,-43.97280261438214,0.0,0.0,0.0,0.0,False
22001,-4.036391663497613,-42.24229028431692,-2.0,2.0,-2.1505376344086025,2.1505376344086025,False
22007,-8.288193663668261,-45.101588816644814,19.0,19.0,190.0,190.0,True
22010,-9.247222652347832,-44.71792105812374,-9.0,9.0,-29.03225806451613,29.03225806451613,False
22015,-7.957290784470069,-41.58039997182434,8.0,8.0,9.411764705882353,9.411764705882353,True
23006,-4.536240207103347,-40.85132027772164,10.0,10.0,23.809523809523807,23.809523809523807,True
23027,-6.645948500617924,-39.53840912947973,6.0,6.0,25.0,25.0,True
23010,-3.6748657984387934,-39.480010288686294,5.0,5.0,38.46153846153847,38.46153846153847,True
23005,-3.7356625844623497,-40.208361231106714,24.0,24.0,28.57142857142857,28.57142857142857,True
23021,-5.805574443184698,-39.483003431827356,-29.0,29.0,-34.523809523809526,34.523809523809526,False
23019,-5.059745281151754,-39.30261713398999,-1.0,1.0,-1.6666666666666667,1.6666666666666667,False
23020,-6.254343552532402,-40.27250453449022,17.0,17.0,51.515151515151516,51.515151515151516,True
23018,-5.23361637461183,-40.52108815245387,18.0,18.0,25.71428571428571,25.71428571428571,True
23025,-5.864872852020753,-38.33177533681425,8.0,8.0,80.0,80.0,True
23007,-4.394947307081177,-40.1178070120467,3.0,3.0,16.666666666666664,16.666666666666664,True
23017,-4.152456297601001,-38.48566322273728,3.0,3.0,30.0,30.0,True
23004,-3.5852644048429227,-40.49612748668758,-2.0,2.0,-16.666666666666664,16.666666666666664,False
23024,-5.7149502478577,-38.697875893338036,0.0,0.0,0.0,0.0,False
23011,-3.9000791099567262,-39.3145290057805,-2.0,2.0,-20.0,20.0,False
23001,-3.099052825896446,-40.60001421134894,-12.0,12.0,-9.523809523809524,9.523809523809524,False
23022,-4.667384333665058,-37.67248442747813,9.0,9.0,56.25,56.25,True
23028,-6.75265113394579,-38.88823852951107,11.0,11.0,366.66666666666663,366.66666666666663,True
23008,-3.3323021810960833,-39.59695529865108,18.0,18.0,64.28571428571429,64.28571428571429,True
23026,-6.366467594830518,-38.99697148018338,-25.0,25.0,-39.0625,39.0625,False
23002,-3.914022277843128,-41.031792562657955,-5.0,5.0,-4.166666666666666,4.166666666666666,False
23016,-3.898605366379861,-38.678925176214534,-53.0,53.0,-23.555555555555554,23.555555555555554,False
23003,-3.5049688051452264,-40.711744846145656,7.0,7.0,29.166666666666668,29.166666666666668,True
23014,-4.44101981722713,-38.521837276046384,7.0,7.0,175.0,175.0,True
23029,-7.064961411656546,-40.1215961112133,3.0,3.0,21.428571428571427,21.428571428571427,True
23015,-4.336776095400844,-38.181288213870175,0.0,0.0,0.0,0.0,False
23030,-6.969182222763732,-39.400597064478696,-2.0,2.0,-33.33333333333333,33.33333333333333,False
23032,-7.31134691867217,-39.42550265630905,17.0,17.0,29.82456140350877,29.82456140350877,True
23012,-4.3749662565048535,-39.39154935871031,0.0,0.0,0.0,0.0,False
23033,-7.493369912242911,-38.959724518569374,5.0,5.0,50.0,50.0,True
23013,-4.4163095639866405,-38.845512735512784,6.0,6.0,24.0,24.0,True
23031,-7.18822366916599,-38.82084991126066,-4.0,4.0,-30.76923076923077,30.76923076923077,False
23023,-5.08390232715565,-38.182285656042545,1.0,1.0,1.0416666666666665,1.0416666666666665,True
