"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"29014 EUCLIDES DA CUNHA";6;9;7;2;9;3;8;12;11;15;24;32;23;14;22;16;29;26;31;16;21;20;25;381
"29015 RIBEIRA DO POMBAL";7;10;11;7;10;4;9;9;13;13;12;15;23;18;26;21;21;25;24;14;17;18;27;354
"29016 SERRINHA";8;14;12;4;13;7;10;14;18;24;30;35;39;29;23;16;9;11;8;9;9;16;27;385
"29017 ALAGOINHAS";11;14;19;15;27;13;10;21;11;15;31;27;27;23;35;23;38;46;33;26;22;24;37;548
"29018 ENTRE RIOS";3;6;6;4;9;6;3;7;6;9;10;8;17;14;21;12;17;12;13;10;14;14;8;229
"29019 CATU";11;9;6;13;14;9;10;12;12;15;17;12;29;12;20;13;12;12;13;13;8;8;13;293
"29020 SANTO ANTONIO DE JESUS";11;21;13;4;4;16;8;25;15;13;16;28;30;23;16;8;11;8;6;18;12;19;28;353
"29021 SALVADOR";41;62;39;40;45;73;59;74;58;63;85;128;133;120;90;74;50;71;51;45;54;42;49;1546
"29022 BOQUIRA";3;5;11;6;3;11;8;8;4;8;9;5;7;8;8;6;13;9;18;4;8;22;28;212
"29023 SEABRA";8;2;13;12;14;18;9;10;10;8;22;48;23;27;24;27;13;11;10;16;10;23;18;376
"29024 JEQUIE";22;14;23;27;29;21;17;15;26;24;24;45;53;33;50;30;33;22;27;40;32;42;38;687
"29025 LIVRAMENTO DO BRUMADO";4;5;9;4;4;2;9;6;3;11;2;3;14;4;4;3;5;2;4;3;13;8;2;124
"29026 GUANAMBI";23;28;28;18;28;32;20;26;15;35;22;46;35;26;26;27;21;40;23;18;21;33;12;603
"29027 BRUMADO";8;35;24;24;18;15;21;36;21;16;18;15;15;20;13;10;18;12;9;16;13;9;11;397
"29028 VITORIA DA CONQUISTA";61;64;58;61;57;56;50;62;70;95;41;36;33;39;37;38;24;9;24;18;43;35;23;1034
"29029 ITAPETINGA";13;6;10;15;12;8;10;17;19;24;11;5;16;6;14;2;8;8;9;14;16;9;16;268
"29030 VALENCA";6;8;9;5;9;4;4;14;17;9;6;11;10;17;24;17;26;11;13;15;17;17;22;291
"29031 ILHEUS-ITABUNA";62;64;66;71;88;86;59;83;82;81;80;58;80;88;81;55;58;85;48;44;67;60;64;1610
"29032 PORTO SEGURO";57;50;56;58;57;34;54;80;68;46;66;52;49;46;43;32;13;30;23;41;21;14;16;1006
"Ignorado - BA";-;-;1;1;2;2;6;13;20;21;14;8;19;22;16;5;1;2;10;3;4;3;3;176
"23001 LITORAL DE CAMOCIM E ACARAU";1;7;3;3;10;8;9;7;6;6;7;15;4;5;8;8;7;12;5;6;6;5;4;152
"23002 IBIAPABA";6;2;7;11;10;19;4;5;14;8;16;7;6;11;18;10;6;11;11;7;1;11;16;217
"23003 COREAU";-;1;1;2;2;3;-;1;3;1;2;4;1;7;1;-;2;2;2;2;-;3;1;41
"23004 MERUOCA";-;-;-;-;1;1;-;-;3;1;1;1;-;4;-;1;1;1;-;5;2;1;-;23
"23005 SOBRAL";7;5;8;11;17;24;10;5;13;13;21;14;11;12;9;5;9;8;16;4;1;13;6;242
"23006 IPU";7;4;6;1;3;1;5;-;4;5;3;3;1;-;4;2;2;2;2;3;-;1;3;62
"23007 SANTA QUITERIA";2;1;1;4;4;5;-;3;3;3;2;1;3;1;-;6;2;1;-;1;-;-;3;46
"23008 ITAPIPOCA";12;4;1;5;13;11;3;5;8;6;8;11;10;5;5;15;9;4;5;-;-;3;2;145
"23009 BAIXO CURU";-;3;7;3;6;4;7;4;7;3;1;5;12;7;7;9;9;2;1;5;-;1;-;103
"23010 URUBURETAMA";4;-;4;1;3;5;2;9;7;2;8;4;7;-;3;2;8;3;4;2;2;3;1;84
"23011 MEDIO CURU";1;3;3;-;3;4;1;7;4;2;1;4;6;5;1;4;7;1;3;-;-;-;-;60
"23012 CANINDE";5;-;1;1;3;2;1;3;8;4;1;3;7;1;3;2;2;-;-;-;-;1;1;49
"23013 BATURITE";3;2;5;5;8;2;5;12;7;7;2;8;8;4;8;7;6;1;2;-;-;1;2;105
"23014 CHOROZINHO";-;-;-;3;3;4;3;11;6;1;-;1;5;3;7;6;12;2;1;1;-;2;-;71
"23015 CASCAVEL";8;4;9;7;11;3;11;4;7;4;1;6;12;10;7;11;12;3;2;4;-;1;-;137
"23016 FORTALEZA";79;102;167;153;167;181;174;162;211;160;54;145;167;142;126;152;165;32;45;21;19;27;14;2665
"23017 PACAJUS";3;3;3;3;5;3;5;6;17;9;1;7;17;4;7;12;17;1;7;2;-;1;2;135
"23018 SERTAO DE CRATEUS";6;13;7;5;4;11;10;7;4;4;3;2;3;3;3;10;2;4;5;5;4;6;7;128
"23019 SERTAO DE QUIXERAMOBIM";2;5;6;28;3;10;7;12;20;8;14;10;3;3;5;6;11;3;3;6;1;6;5;177
"23020 SERTAO DE INHAMUNS";7;1;8;3;10;2;8;3;5;6;2;5;5;2;3;9;12;11;4;3;3;9;3;124
"23021 SERTAO DE SENADOR POMPEU";5;7;9;6;13;7;6;9;17;5;9;9;7;2;3;7;12;8;12;14;12;17;1;197
