"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"29020 SANTO ANTONIO DE JESUS";-;1;-;-;1;1;1;1;-;1;-;-;-;2;1;2;-;1;2;2;1;2;1;20
"29021 SALVADOR";2;-;3;2;2;4;4;8;2;4;6;1;4;2;6;2;1;5;4;8;1;3;4;78
"29022 BOQUIRA";-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"29023 SEABRA";-;-;-;1;2;1;-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;1;1;11
"29024 JEQUIE";1;-;1;2;3;2;3;1;4;3;14;-;8;3;7;-;-;-;2;2;2;3;-;61
"29025 LIVRAMENTO DO BRUMADO";-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;1;-;1;1;8
"29026 GUANAMBI";2;-;-;2;-;1;1;-;1;-;4;3;-;-;-;-;-;1;-;3;7;4;-;29
"29027 BRUMADO";-;-;1;1;-;5;1;-;1;-;-;-;3;2;1;1;-;-;1;1;1;2;4;25
"29028 VITORIA DA CONQUISTA";3;-;2;-;3;9;-;3;1;4;2;1;4;4;5;2;1;2;4;3;4;4;6;67
"29029 ITAPETINGA";-;-;-;1;-;-;1;1;1;-;-;-;-;-;2;-;-;1;-;2;-;-;1;10
"29030 VALENCA";-;-;1;-;-;-;2;1;1;1;-;-;1;-;-;-;-;-;1;1;2;1;1;13
"29031 ILHEUS-ITABUNA";-;1;3;1;2;2;1;1;2;1;1;2;1;1;4;-;4;-;3;2;3;1;3;39
"29032 PORTO SEGURO";1;1;-;1;1;5;5;-;-;-;4;2;3;13;10;4;1;-;4;3;4;7;3;72
"Ignorado - BA";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;4
