"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"29014 EUCLIDES DA CUNHA";4;1;-;5;1;4;4;3;6;7;9;16;15;9;8;9;6;9;9;5;5;6;11;152
"29015 RIBEIRA DO POMBAL";7;1;5;6;5;4;3;3;2;6;3;9;7;13;11;13;13;7;7;5;6;2;13;151
"29016 SERRINHA";2;4;5;2;1;5;2;16;6;3;6;19;20;16;24;9;10;24;41;46;45;61;64;431
"29017 ALAGOINHAS";2;-;-;9;4;9;6;3;7;3;7;8;12;9;10;3;6;5;2;11;17;9;16;158
"29018 ENTRE RIOS";2;3;1;-;1;1;2;2;2;4;2;2;6;2;1;-;1;1;1;1;3;7;3;48
"29019 CATU";2;-;2;3;2;3;7;10;6;3;6;5;10;1;5;3;8;6;2;10;4;2;11;111
"29020 SANTO ANTONIO DE JESUS";4;1;9;6;3;12;25;20;15;15;31;25;41;31;39;46;19;38;18;36;27;32;17;510
"29021 SALVADOR";44;25;24;22;15;64;115;68;66;48;69;79;60;47;49;33;36;37;47;52;63;43;56;1162
"29022 BOQUIRA";-;-;2;1;2;5;-;7;1;6;3;3;7;2;2;2;8;5;7;4;7;6;3;83
"29023 SEABRA";9;3;2;-;7;5;6;15;10;12;6;6;5;11;5;7;11;6;16;20;17;17;15;211
"29024 JEQUIE";13;11;13;8;11;24;28;31;18;26;32;15;22;11;12;19;9;18;12;12;13;20;12;390
"29025 LIVRAMENTO DO BRUMADO";-;2;-;1;-;-;1;3;3;2;6;4;3;6;3;11;8;3;7;4;9;1;2;79
"29026 GUANAMBI";4;5;3;8;3;7;7;12;10;15;17;19;16;18;22;29;22;11;10;5;9;18;10;280
"29027 BRUMADO";6;5;4;9;5;2;3;3;7;6;16;25;18;18;21;16;21;17;24;12;13;22;20;293
"29028 VITORIA DA CONQUISTA";21;7;9;6;7;4;8;11;9;23;90;77;79;69;79;69;79;74;48;43;35;47;41;935
"29029 ITAPETINGA";1;1;3;6;5;2;3;3;2;7;14;25;28;19;33;23;20;6;17;9;9;10;12;258
"29030 VALENCA";2;2;-;6;1;10;11;7;6;7;18;7;5;4;5;6;11;4;6;4;4;5;3;134
"29031 ILHEUS-ITABUNA";18;4;6;13;15;12;35;18;28;30;59;55;33;31;23;35;18;18;13;20;25;40;26;575
"29032 PORTO SEGURO";44;26;37;45;28;30;40;41;53;51;98;91;81;81;53;85;119;52;56;40;90;94;100;1435
"Ignorado - BA";2;4;-;2;-;5;3;3;8;8;7;3;15;12;19;5;28;23;11;15;6;13;7;199
"23001 LITORAL DE CAMOCIM E ACARAU";1;2;8;-;2;5;4;2;2;4;5;9;22;23;26;37;31;21;16;27;51;12;18;328
"23002 IBIAPABA";5;4;3;3;-;4;2;4;2;6;3;2;5;9;14;16;22;12;17;14;60;13;14;234
"23003 COREAU";-;2;-;-;1;-;-;-;1;2;-;1;-;3;3;1;4;1;3;1;5;6;1;35
"23004 MERUOCA";-;-;1;1;-;-;-;-;-;-;-;-;-;-;3;1;2;-;-;-;1;-;1;10
"23005 SOBRAL";3;1;2;1;-;-;-;-;-;4;4;4;8;16;43;26;24;19;16;13;37;10;7;238
"23006 IPU";2;2;-;-;1;3;4;2;2;4;8;4;1;4;9;3;3;1;6;3;22;6;7;97
"23007 SANTA QUITERIA";-;2;-;-;-;-;1;-;1;2;4;9;12;14;19;17;13;14;11;7;15;9;8;158
"23008 ITAPIPOCA";4;2;-;1;-;3;3;4;1;3;8;13;6;6;13;4;1;5;12;5;3;1;7;105
"23009 BAIXO CURU";4;-;2;3;-;3;1;1;-;1;5;2;1;4;10;2;3;-;-;1;-;-;2;45
"23010 URUBURETAMA";5;1;-;-;-;-;-;-;-;1;2;2;6;2;5;1;-;2;3;1;5;4;-;40
"23011 MEDIO CURU";2;-;-;1;-;1;-;1;-;1;6;6;1;7;9;4;8;3;9;5;4;3;3;74
"23012 CANINDE";2;2;-;3;6;4;5;3;1;6;12;9;12;16;37;18;22;16;15;18;15;15;12;249
"23013 BATURITE";8;6;2;4;-;7;3;1;4;4;11;11;30;20;28;31;15;20;15;16;12;21;15;284
"23014 CHOROZINHO";1;2;-;2;-;2;-;-;-;-;2;2;9;7;15;4;1;1;-;-;-;-;4;52
"23015 CASCAVEL";11;6;4;3;2;-;1;-;-;-;9;5;3;5;14;2;1;-;3;1;-;-;1;71
"23016 FORTALEZA";73;54;40;20;18;39;24;9;7;5;167;75;24;57;237;60;24;18;11;13;8;20;7;1010
"23017 PACAJUS";5;3;-;-;-;-;1;1;-;-;14;3;3;2;19;3;1;1;-;1;1;2;1;61
"23018 SERTAO DE CRATEUS";4;4;-;4;1;3;3;3;10;12;20;47;47;52;55;18;17;18;14;11;29;19;11;402
"23019 SERTAO DE QUIXERAMOBIM";5;6;4;2;3;4;4;3;7;12;17;17;45;52;79;54;32;41;28;22;32;29;24;522
"23020 SERTAO DE INHAMUNS";2;-;-;-;-;-;2;3;2;-;15;22;37;30;45;8;4;4;3;1;7;8;6;199
"23021 SERTAO DE SENADOR POMPEU";4;4;4;6;1;6;-;2;3;5;22;16;45;42;61;37;40;29;22;21;19;19;16;424
"23022 LITORAL DE ARACATI";-;-;-;2;1;1;2;-;-;-;2;-;17;16;10;4;1;1;5;4;8;9;11;94
"23023 BAIXO JAGUARIBE";17;7;15;9;8;10;11;3;9;11;13;27;63;70;94;62;46;22;17;15;9;9;2;549
"23024 MEDIO JAGUARIBE";1;2;5;3;1;1;1;2;1;-;5;14;16;10;8;9;4;6;4;4;-;5;5;107
"23025 SERRA DO PEREIRO";-;1;3;-;-;1;7;-;-;1;7;4;14;14;8;9;6;3;4;2;3;2;4;93
"23026 IGUATU";3;1;1;2;4;-;2;2;8;6;42;34;35;29;19;32;10;5;3;3;1;5;6;253
"23027 VARZEA ALEGRE";-;2;-;-;3;1;1;1;8;4;22;11;35;20;15;15;1;-;-;-;-;4;1;144
"23028 LAVRAS DA MANGABEIRA";-;-;-;-;-;-;2;-;-;1;13;11;19;23;16;13;5;1;1;1;1;1;7;115
"23029 CHAPADA DO ARARIPE";1;1;1;1;4;1;-;8;3;8;5;26;32;33;23;26;23;-;-;-;1;6;-;203
"23030 CARIRIACU";1;-;1;-;-;1;-;-;1;6;4;5;18;5;8;10;3;-;-;-;-;2;1;66
"23031 BARRO";1;-;1;2;-;2;-;1;3;2;6;8;22;14;18;28;9;-;1;-;3;2;-;123
"23032 CARIRI";3;-;3;13;5;5;4;7;36;41;43;116;143;130;114;112;73;4;4;6;5;16;16;899
"23033 BREJO SANTO";1;1;-;-;1;-;-;1;3;2;11;21;31;26;28;25;26;2;1;1;-;2;4;187
"Ignorado - CE";-;-;-;-;3;-;-;-;-;-;-;2;1;-;2;-;1;-;-;2;-;-;-;11
"53001 BRASILIA";75;74;44;55;57;54;35;39;51;55;42;32;49;50;59;46;27;32;27;27;25;45;40;1040
"32001 BARRA DE SAO FRANCISCO";2;8;6;4;6;6;10;7;4;3;5;3;6;7;8;6;10;5;15;12;11;1;10;155
"32002 NOVA VENECIA";9;12;12;9;7;4;8;7;10;9;14;13;15;11;14;15;13;5;16;32;20;3;7;265
"32003 COLATINA";20;20;18;6;18;16;10;9;11;14;9;15;16;12;15;17;17;13;18;19;17;8;14;332
"32004 MONTANHA";2;5;10;4;3;7;6;1;1;2;5;7;2;3;2;6;7;3;10;19;10;4;10;129
"32005 SAO MATEUS";18;10;30;20;26;29;29;16;14;10;33;17;10;22;15;23;24;9;29;24;38;10;25;481
"32006 LINHARES";36;23;35;39;35;34;17;19;20;27;26;22;27;12;33;24;19;8;22;32;53;-;18;581
"32007 AFONSO CLAUDIO";9;9;19;13;12;11;5;10;11;5;14;3;3;9;5;6;7;2;4;12;11;8;11;199
"32008 SANTA TERESA";3;7;10;7;4;2;8;4;4;4;4;3;9;7;4;10;7;6;13;14;7;4;7;148
"32009 VITORIA";84;44;99;69;64;64;31;50;56;45;53;31;33;44;28;24;31;27;34;29;47;12;36;1035
"32010 GUARAPARI";22;9;28;15;21;26;7;5;11;11;12;4;10;11;5;2;3;3;16;12;12;6;12;263
"32011 ALEGRE";17;14;9;7;10;10;10;12;12;16;11;7;5;6;5;6;4;3;8;17;20;12;13;234
"32012 CACHOEIRO DE ITAPEMIRIM";30;25;45;20;27;28;16;11;17;18;25;12;11;14;7;8;5;7;9;17;40;16;18;426
"32013 ITAPEMIRIM";4;3;1;5;1;5;2;5;5;3;3;2;4;2;5;2;4;3;3;3;7;4;3;79
"Ignorado - ES";-;-;-;1;1;1;-;-;-;1;1;-;1;-;1;1;-;-;-;1;6;2;2;19
"52001 SAO MIGUEL DO ARAGUAIA";4;8;10;3;4;2;8;7;6;10;4;6;5;6;11;7;5;7;-;3;7;5;8;136
"52002 RIO VERMELHO";12;11;12;12;9;5;7;11;12;1;17;11;15;11;8;17;8;11;4;5;6;12;16;233
"52003 ARAGARCAS";9;9;8;-;1;1;3;1;2;4;3;3;3;2;6;7;-;-;3;1;4;7;6;83
