"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"29014 EUCLIDES DA CUNHA";3;4;6;2;4;6;8;8;4;5;7;9;28;29;24;30;20;28;32;19;17;37;29;359
"29015 RIBEIRA DO POMBAL";4;3;8;10;13;13;9;12;6;18;11;33;39;24;29;19;29;39;28;30;30;29;33;469
"29016 SERRINHA";1;3;2;1;2;6;3;7;6;6;15;15;15;13;12;8;2;19;17;9;13;10;12;197
"29017 ALAGOINHAS";3;3;4;7;11;9;10;9;9;11;23;22;29;32;27;20;21;18;29;22;10;13;12;354
"29018 ENTRE RIOS";1;2;2;4;-;-;5;2;3;5;9;8;7;13;21;11;15;10;8;13;1;3;7;150
"29019 CATU";-;2;3;3;1;4;3;6;2;6;10;8;13;15;9;10;9;6;2;3;6;4;2;127
"29020 SANTO ANTONIO DE JESUS";1;3;2;2;3;8;11;16;12;16;30;25;23;29;37;20;25;20;21;26;36;24;26;416
"29021 SALVADOR";6;5;4;6;7;61;42;62;17;28;92;60;73;95;113;107;88;79;67;50;55;54;71;1242
"29022 BOQUIRA";2;2;4;1;4;4;5;3;8;6;10;14;13;12;14;23;16;16;6;21;18;12;14;228
"29023 SEABRA";2;1;4;4;3;8;5;8;10;3;13;14;24;13;19;24;23;31;14;18;24;13;14;292
"29024 JEQUIE";5;8;9;13;11;13;15;23;21;31;33;40;46;46;52;45;54;29;37;32;29;33;43;668
"29025 LIVRAMENTO DO BRUMADO";2;-;3;1;1;3;2;7;3;3;6;6;11;5;5;10;7;3;4;7;5;10;9;113
"29026 GUANAMBI";7;4;12;16;11;18;16;8;22;35;29;32;35;60;39;45;42;41;51;51;49;55;42;720
"29027 BRUMADO";3;3;11;7;4;2;3;7;8;12;7;12;17;16;18;26;17;19;18;31;19;18;27;305
"29028 VITORIA DA CONQUISTA";7;6;13;12;5;6;5;5;11;7;11;13;21;37;29;21;22;13;22;32;31;17;44;390
"29029 ITAPETINGA";-;-;2;3;-;1;2;9;1;2;2;3;5;7;8;6;2;6;8;4;8;14;4;97
"29030 VALENCA";2;3;4;2;-;2;4;5;4;5;7;5;7;14;12;9;9;19;20;18;15;11;13;190
"29031 ILHEUS-ITABUNA";6;8;7;7;19;21;9;7;28;20;14;18;14;28;29;34;32;23;30;31;38;28;32;483
"29032 PORTO SEGURO";7;6;13;11;18;18;17;6;17;12;14;18;17;30;42;31;25;42;32;40;36;38;18;508
"Ignorado - BA";-;1;1;1;1;1;5;-;-;2;4;4;2;1;-;2;-;1;1;6;4;5;6;48
"23001 LITORAL DE CAMOCIM E ACARAU";10;14;11;17;35;34;22;29;29;33;59;50;68;51;74;75;62;66;62;68;57;84;68;1078
"23002 IBIAPABA";19;27;29;36;23;28;39;55;46;47;60;51;73;47;80;61;78;62;67;70;42;53;59;1152
"23003 COREAU";3;3;5;2;5;1;7;12;6;5;9;9;13;11;7;14;18;14;12;15;5;19;24;219
"23004 MERUOCA";1;1;3;2;2;1;6;2;-;-;4;7;7;8;6;8;6;5;8;5;4;4;7;97
"23005 SOBRAL";26;33;22;23;26;13;21;30;29;31;53;57;70;49;58;58;48;59;63;44;55;55;70;993
"23006 IPU";6;9;5;19;7;9;15;16;17;17;16;18;23;33;38;32;29;34;32;31;23;25;34;488
"23007 SANTA QUITERIA";4;4;7;7;10;7;10;8;4;6;7;6;10;5;9;5;5;3;10;10;6;7;8;158
"23008 ITAPIPOCA";5;2;11;17;2;11;13;15;20;11;23;23;34;30;38;25;16;21;29;19;4;13;31;413
"23009 BAIXO CURU";1;4;5;4;9;2;9;9;2;1;2;10;12;17;12;15;12;11;9;7;2;6;9;170
"23010 URUBURETAMA";3;4;3;3;-;5;10;2;6;6;11;6;8;14;21;21;10;14;11;5;5;5;11;184
"23011 MEDIO CURU";3;2;4;6;5;7;5;7;6;9;10;3;15;12;13;12;6;4;8;4;1;5;4;151
"23012 CANINDE";3;7;1;7;7;12;3;7;2;7;15;9;10;3;7;14;6;4;4;5;4;5;11;153
"23013 BATURITE";8;6;6;9;16;9;13;10;21;13;16;10;28;13;19;22;8;14;17;6;8;11;8;291
"23014 CHOROZINHO";4;1;1;1;1;2;5;4;2;2;5;7;7;8;4;10;8;4;4;3;2;-;7;92
"23015 CASCAVEL";1;1;7;6;4;7;9;6;4;2;8;7;18;5;9;9;3;5;11;5;3;5;14;149
"23016 FORTALEZA";58;96;114;105;108;118;98;89;90;83;115;160;194;232;175;167;142;152;103;87;116;68;75;2745
"23017 PACAJUS";1;4;10;4;2;3;6;4;8;6;8;12;20;14;7;9;8;9;6;4;2;3;6;156
"23018 SERTAO DE CRATEUS";8;13;16;25;33;31;31;30;28;17;20;15;36;25;28;57;51;70;56;37;53;61;61;802
"23019 SERTAO DE QUIXERAMOBIM";8;19;19;12;19;22;18;16;26;19;27;31;19;13;9;17;12;7;9;26;12;14;23;397
"23020 SERTAO DE INHAMUNS";2;8;8;12;16;10;21;20;13;31;20;13;13;13;15;30;28;31;32;25;30;23;34;448
"23021 SERTAO DE SENADOR POMPEU";12;11;27;26;28;17;39;15;28;27;39;31;35;24;16;27;19;18;25;34;27;26;31;582
"23022 LITORAL DE ARACATI";4;4;6;4;2;4;13;6;7;6;8;3;3;7;10;14;5;5;10;8;13;7;9;158
"23023 BAIXO JAGUARIBE";17;18;12;35;23;41;39;50;49;46;49;47;48;31;50;43;36;57;67;46;49;51;74;978
"23024 MEDIO JAGUARIBE";6;5;5;4;8;3;2;14;6;8;8;7;7;7;5;12;7;9;5;5;4;10;12;159
"23025 SERRA DO PEREIRO";3;5;-;6;6;2;6;9;7;10;8;3;10;6;5;3;8;7;8;5;2;3;12;134
"23026 IGUATU";11;24;10;15;16;20;29;21;19;24;22;28;20;37;22;20;19;25;33;34;32;16;23;520
"23027 VARZEA ALEGRE";2;4;4;7;6;17;14;11;14;12;3;14;10;14;11;6;16;11;7;14;10;5;22;234
"23028 LAVRAS DA MANGABEIRA";1;1;1;2;3;5;8;5;2;5;5;3;1;2;3;8;4;3;4;-;6;4;5;81
"23029 CHAPADA DO ARARIPE";6;1;6;4;6;3;11;6;4;5;11;6;6;5;5;5;10;5;5;13;10;10;13;156
"23030 CARIRIACU";-;-;2;3;3;2;5;4;4;3;3;4;1;2;2;2;5;8;2;4;1;4;1;65
"23031 BARRO";3;3;2;2;6;4;8;4;8;9;15;7;2;3;5;5;3;2;6;9;3;4;4;117
"23032 CARIRI";11;20;19;11;35;39;38;44;22;21;30;39;16;13;16;14;19;29;49;29;23;23;43;603
"23033 BREJO SANTO";2;-;4;4;7;3;6;5;4;4;12;10;4;3;5;8;2;6;8;6;6;11;7;127
"Ignorado - CE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"53001 BRASILIA";11;8;40;30;36;63;63;103;94;95;121;94;105;101;99;89;102;76;72;80;87;75;68;1712
