"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"29013 JEREMOABO";1;2;1;1;-;-;1;3;3;2;1;3;1;1;1;-;1;-;1;1;-;-;-;24
"29014 EUCLIDES DA CUNHA";7;2;5;2;4;4;8;3;3;4;6;7;9;8;15;6;2;8;4;11;4;6;4;132
"29015 RIBEIRA DO POMBAL";8;6;10;9;6;4;10;13;8;13;14;12;11;13;14;8;10;5;12;9;12;8;7;222
"29016 SERRINHA";3;5;6;-;4;6;8;9;9;7;7;4;11;6;6;3;1;5;1;-;5;1;2;109
"29017 ALAGOINHAS";8;8;11;13;8;9;14;16;9;13;19;23;18;23;13;10;15;9;7;10;7;8;11;282
"29018 ENTRE RIOS";5;6;2;6;5;7;6;7;8;4;6;4;7;5;3;3;3;1;3;-;1;3;2;97
"29019 CATU";3;10;7;3;8;11;11;7;8;8;15;12;6;7;9;2;11;1;3;5;4;4;1;156
"29020 SANTO ANTONIO DE JESUS";14;8;10;10;6;18;24;17;11;23;26;11;24;12;11;11;13;4;12;7;8;5;13;298
"29021 SALVADOR";29;73;80;88;56;191;176;170;61;68;176;176;159;148;138;105;80;84;67;60;64;55;52;2356
"29022 BOQUIRA";4;3;1;4;3;4;3;2;3;5;2;2;7;3;-;-;3;5;-;6;3;-;3;66
"29023 SEABRA";5;9;5;9;7;5;3;8;5;4;3;6;5;5;4;3;6;5;4;11;4;6;2;124
"29024 JEQUIE";9;13;14;14;13;14;18;12;14;20;24;20;16;20;11;15;5;7;11;16;9;7;12;314
"29025 LIVRAMENTO DO BRUMADO";-;-;1;3;1;1;1;-;4;3;1;1;1;2;3;-;2;2;2;2;3;2;2;37
"29026 GUANAMBI";9;1;3;2;6;5;5;3;10;4;11;7;8;7;10;7;8;5;11;8;11;6;16;163
"29027 BRUMADO";1;8;5;4;9;6;8;-;4;5;10;6;6;5;4;5;5;4;3;13;-;5;2;118
"29028 VITORIA DA CONQUISTA";16;28;34;19;22;20;18;17;12;15;18;25;29;30;27;21;17;17;18;21;17;18;22;481
"29029 ITAPETINGA";8;9;3;5;2;1;1;2;4;1;3;5;4;5;2;1;2;4;5;1;6;2;3;79
"29030 VALENCA";11;8;9;7;7;9;8;15;7;5;24;19;17;13;16;11;12;8;10;7;9;3;5;240
"29031 ILHEUS-ITABUNA";50;55;37;42;41;31;22;51;36;37;48;30;42;35;40;30;23;28;18;24;15;14;16;765
"29032 PORTO SEGURO";33;19;37;41;45;43;49;39;46;24;21;28;16;20;29;11;13;20;11;18;18;6;14;601
"Ignorado - BA";1;6;6;5;4;19;12;17;12;10;20;19;16;13;20;16;6;11;11;8;7;9;3;251
"23001 LITORAL DE CAMOCIM E ACARAU";9;17;12;7;26;15;20;18;29;13;32;14;21;13;25;15;12;13;12;19;15;17;15;389
"23002 IBIAPABA";27;19;20;23;27;23;25;39;31;12;31;34;19;33;17;20;20;15;11;17;18;12;13;506
"23003 COREAU";2;4;3;3;3;2;3;4;2;1;3;4;2;3;3;1;3;3;3;3;2;2;3;62
"23004 MERUOCA";-;1;1;3;1;-;3;1;-;-;2;-;-;-;2;1;1;1;-;1;-;1;2;21
"23005 SOBRAL";17;31;20;18;17;15;23;31;21;15;28;17;18;20;16;20;13;13;15;14;13;11;14;420
"23006 IPU";4;3;5;8;10;6;8;7;8;3;4;6;3;2;7;5;1;5;7;5;9;5;4;125
"23007 SANTA QUITERIA";3;6;2;7;2;4;3;2;2;1;3;-;3;2;1;3;-;2;2;-;-;-;2;50
"23008 ITAPIPOCA";8;15;12;13;10;15;10;16;12;16;9;13;8;18;15;10;10;7;9;2;2;6;5;241
"23009 BAIXO CURU";3;6;6;10;8;12;5;8;5;15;7;11;12;19;8;8;6;2;6;3;2;-;3;165
"23010 URUBURETAMA";5;3;4;8;4;9;5;6;8;2;7;1;9;6;10;10;4;6;5;4;2;3;6;127
"23011 MEDIO CURU";4;1;4;4;5;6;2;4;3;5;6;4;3;7;2;1;4;1;3;1;2;1;-;73
"23012 CANINDE";7;5;6;1;4;5;9;6;5;11;11;2;5;6;7;4;3;-;-;3;-;1;2;103
"23013 BATURITE";6;13;8;11;12;8;8;13;5;11;8;9;12;9;6;8;3;5;1;2;1;2;5;166
"23014 CHOROZINHO";7;3;4;4;4;8;5;5;3;7;5;6;7;8;5;3;4;3;5;-;1;1;-;98
"23015 CASCAVEL";16;13;10;15;25;17;15;23;16;14;19;16;14;7;7;13;8;4;4;8;3;2;3;272
"23016 FORTALEZA";214;245;292;306;281;313;263;292;221;253;252;252;248;248;202;179;129;142;113;87;65;55;54;4706
"23017 PACAJUS";6;5;7;6;6;3;8;5;11;8;13;8;10;12;8;6;7;5;3;3;1;1;2;144
"23018 SERTAO DE CRATEUS";16;13;17;16;12;9;10;5;14;9;7;9;6;6;13;13;12;14;6;10;3;4;4;228
"23019 SERTAO DE QUIXERAMOBIM";20;14;22;30;11;11;18;13;8;3;9;6;4;5;6;5;5;3;-;6;6;4;5;214
"23020 SERTAO DE INHAMUNS";4;5;2;3;4;3;7;6;5;6;4;5;3;4;1;6;3;5;4;2;4;3;4;93
"23021 SERTAO DE SENADOR POMPEU";1;14;15;10;15;6;6;12;7;11;15;8;9;3;2;7;9;7;7;10;5;4;4;187
"23022 LITORAL DE ARACATI";9;8;11;6;9;13;8;8;3;3;14;4;3;3;6;4;4;3;4;2;4;3;2;134
"23023 BAIXO JAGUARIBE";14;10;8;14;15;14;14;17;17;6;17;12;15;16;6;7;4;11;8;12;3;7;11;258
"23024 MEDIO JAGUARIBE";1;1;3;1;2;2;4;-;2;3;4;-;1;1;2;3;1;-;1;-;2;2;2;38
"23025 SERRA DO PEREIRO";1;-;-;1;1;-;2;8;2;-;1;2;-;3;1;3;1;2;-;2;-;-;-;30
"23026 IGUATU";15;13;7;5;12;11;7;14;8;6;5;10;6;6;5;5;3;4;4;3;3;3;2;157
"23027 VARZEA ALEGRE";1;5;8;5;6;6;6;5;2;4;2;5;-;5;2;-;-;3;5;1;2;1;4;78
