"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";10961
"2001";10024
"2002";10594
"2003";10206
"2004";10096
"2005";9917
"2006";8430
"2007";8760
"2008";8961
"2009";8548
"2010";10152
"2011";9898
"2012";10376
"2013";9583
"2014";10203
"2015";8083
"2016";8011
"2017";5862
"2018";5282
"2019";5473
"2020";6384
"2021";6848
"2022";6598
"Total";199250
