"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";127
"2001";93
"2002";135
"2003";143
"2004";212
"2005";166
"2006";235
"2007";183
"2008";179
"2009";177
"2010";160
"2011";194
"2012";193
"2013";173
"2014";239
"2015";235
"2016";180
"2017";166
"2018";124
"2019";138
"2020";111
"2021";124
"2022";126
"Total";3813
