"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";176
"2001";200
"2002";224
"2003";248
"2004";279
"2005";306
"2006";264
"2007";291
"2008";267
"2009";305
"2010";342
"2011";379
"2012";371
"2013";327
"2014";325
"2015";320
"2016";322
"2017";324
"2018";312
"2019";328
"2020";235
"2021";257
"2022";315
"Total";6717
