"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";789
"2001";1008
"2002";1240
"2003";1263
"2004";1389
"2005";1523
"2006";1668
"2007";1649
"2008";1615
"2009";1573
"2010";1513
"2011";1475
"2012";1492
"2013";1348
"2014";1357
"2015";1311
"2016";1262
"2017";1306
"2018";1363
"2019";1358
"2020";1352
"2021";1381
"2022";1346
"Total";31581
