"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";488
"2001";502
"2002";550
"2003";594
"2004";708
"2005";732
"2006";786
"2007";767
"2008";718
"2009";753
"2010";780
"2011";848
"2012";863
"2013";818
"2014";838
"2015";739
"2016";750
"2017";861
"2018";795
"2019";819
"2020";751
"2021";847
"2022";806
"Total";17113
