"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";5266
"2001";5847
"2002";6290
"2003";6402
"2004";7188
"2005";7035
"2006";7639
"2007";7982
"2008";8120
"2009";8133
"2010";9059
"2011";9733
"2012";10154
"2013";9757
"2014";10084
"2015";8858
"2016";8577
"2017";8187
"2018";7282
"2019";6899
"2020";6752
"2021";7029
"2022";7226
"Total";179499
