"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";27
"2001";30
"2002";29
"2003";21
"2004";25
"2005";21
"2006";36
"2007";40
"2008";41
"2009";38
"2010";69
"2011";52
"2012";64
"2013";57
"2014";48
"2015";60
"2016";49
"2017";46
"2018";44
"2019";33
"2020";158
"2021";36
"2022";32
"Total";1056
