"Ano do Óbito";"Óbitos_p/Ocorrênc"
"2000";8696
"2001";9720
"2002";9947
"2003";9991
"2004";10166
"2005";10320
"2006";10147
"2007";9657
"2008";9474
"2009";8799
"2010";9944
"2011";9244
"2012";8819
"2013";8220
"2014";8082
"2015";6979
"2016";6158
"2017";6469
"2018";6018
"2019";5715
"2020";5120
"2021";5349
"2022";5387
"Total";188421
